{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM'}
{'name': 'System', 'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM'}
{'name': 'Registry', 'pid': 100, 'username': None}
{'name': 'smss.exe', 'pid': 472, 'username': None}
{'name': 'lsass.exe', 'pid': 540, 'username': None}
{'name': 'services.exe', 'pid': 592, 'username': None}
{'name': 'csrss.exe', 'pid': 644, 'username': None}
{'name': 'svchost.exe', 'pid': 696, 'username': None}
{'name': 'WmiPrvSE.exe', 'pid': 700, 'username': None}
{'name': 'igfxTray.exe', 'pid': 720, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'svchost.exe', 'pid': 732, 'username': None}
{'name': 'svchost.exe', 'pid': 792, 'username': None}
{'name': 'svchost.exe', 'pid': 808, 'username': None}
{'name': 'fontdrvhost.exe', 'pid': 816, 'username': None}
{'name': 'svchost.exe', 'pid': 936, 'username': None}
{'name': 'wininit.exe', 'pid': 1000, 'username': None}
{'name': 'csrss.exe', 'pid': 1016, 'username': None}
{'name': 'winlogon.exe', 'pid': 1040, 'username': None}
{'name': 'fontdrvhost.exe', 'pid': 1096, 'username': None}
{'name': 'dwm.exe', 'pid': 1152, 'username': None}
{'name': 'fodhelper.exe', 'pid': 1168, 'username': None}
{'name': 'SettingSyncHost.exe', 'pid': 1200, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'svchost.exe', 'pid': 1292, 'username': None}
{'name': 'SgrmBroker.exe', 'pid': 1324, 'username': None}
{'name': 'svchost.exe', 'pid': 1360, 'username': None}
{'name': 'svchost.exe', 'pid': 1368, 'username': None}
{'name': 'svchost.exe', 'pid': 1376, 'username': None}
{'name': 'httpd.exe', 'pid': 1384, 'username': None}
{'name': 'svchost.exe', 'pid': 1480, 'username': None}
{'name': 'AUEPLauncher.exe', 'pid': 1492, 'username': None}
{'name': 'svchost.exe', 'pid': 1532, 'username': None}
{'name': 'svchost.exe', 'pid': 1544, 'username': None}
{'name': 'svchost.exe', 'pid': 1552, 'username': None}
{'name': 'svchost.exe', 'pid': 1560, 'username': None}
{'name': 'svchost.exe', 'pid': 1568, 'username': None}
{'name': 'svchost.exe', 'pid': 1576, 'username': None}
{'name': 'svchost.exe', 'pid': 1632, 'username': None}
{'name': 'AUEPMaster.exe', 'pid': 1640, 'username': None}
{'name': 'svchost.exe', 'pid': 1692, 'username': None}
{'name': 'svchost.exe', 'pid': 1732, 'username': None}
{'name': 'svchost.exe', 'pid': 1740, 'username': None}
{'name': 'taskhostw.exe', 'pid': 1776, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'igfxEM.exe', 'pid': 1812, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'svchost.exe', 'pid': 2008, 'username': None}
{'name': 'svchost.exe', 'pid': 2032, 'username': None}
{'name': 'svchost.exe', 'pid': 2068, 'username': None}
{'name': 'svchost.exe', 'pid': 2080, 'username': None}
{'name': 'svchost.exe', 'pid': 2088, 'username': None}
{'name': 'conhost.exe', 'pid': 2136, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'svchost.exe', 'pid': 2168, 'username': None}
{'name': 'svchost.exe', 'pid': 2184, 'username': None}
{'name': 'svchost.exe', 'pid': 2200, 'username': None}
{'name': 'igfxCUIService.exe', 'pid': 2268, 'username': None}
{'name': 'svchost.exe', 'pid': 2280, 'username': None}
{'name': 'amdfendrsr.exe', 'pid': 2284, 'username': None}
{'name': 'atiesrxx.exe', 'pid': 2304, 'username': None}
{'name': 'svchost.exe', 'pid': 2312, 'username': None}
{'name': 'CodeHelper.exe', 'pid': 2336, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'svchost.exe', 'pid': 2344, 'username': None}
{'name': 'svchost.exe', 'pid': 2364, 'username': None}
{'name': 'svchost.exe', 'pid': 2612, 'username': None}
{'name': 'atieclxx.exe', 'pid': 2624, 'username': None}
{'name': 'svchost.exe', 'pid': 2632, 'username': None}
{'name': 'MemCompression', 'pid': 2692, 'username': None}
{'name': 'svchost.exe', 'pid': 2704, 'username': None}
{'name': 'svchost.exe', 'pid': 2740, 'username': None}
{'name': 'svchost.exe', 'pid': 2752, 'username': None}
{'name': 'svchost.exe', 'pid': 2760, 'username': None}
{'name': 'svchost.exe', 'pid': 2772, 'username': None}
{'name': 'svchost.exe', 'pid': 2828, 'username': None}
{'name': 'RuntimeBroker.exe', 'pid': 2904, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'svchost.exe', 'pid': 2908, 'username': None}
{'name': 'ctfmon.exe', 'pid': 2928, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'svchost.exe', 'pid': 2932, 'username': None}
{'name': 'conhost.exe', 'pid': 2956, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'svchost.exe', 'pid': 3056, 'username': None}
{'name': 'svchost.exe', 'pid': 3140, 'username': None}
{'name': 'svchost.exe', 'pid': 3148, 'username': None}
{'name': 'svchost.exe', 'pid': 3156, 'username': None}
{'name': 'svchost.exe', 'pid': 3304, 'username': None}
{'name': 'SASrv.exe', 'pid': 3324, 'username': None}
{'name': 'svchost.exe', 'pid': 3376, 'username': None}
{'name': 'svchost.exe', 'pid': 3436, 'username': None}
